Protein,Interaction,Drug,Scores
FLT1,PD,D08066,0.7404
FLT1,PD,D08881,0.7024
FLT3,PD,D06407,0.9101
FLT3,PD,D09635,0.8793
FLT3,PD,D08552,0.853
FLT3,PD,D03736,0.8493
FLT3,PD,D08279,0.8265
FLT3,PD,D08524,0.7748
FLT3,PD,D09731,0.7074
FRK,PD,D06407,0.9617
FRK,PD,D03736,0.8047
FRK,PD,D03658,0.7449
FRK,PD,D08524,0.7051
FRK,PD,D09635,0.7045
FRK,PD,D05399,0.7022
FURIN,PD,D00043,0.8083
GABRA2,PD,D00293,1
GABRA2,PD,D08283,0.9903
GABRA2,PD,D01354,0.9789
GABRA2,PD,D01230,0.9788
GABRA2,PD,D00387,0.9772
GABRA2,PD,D00500,0.9706
GABRA2,PD,D07784,0.9698
GABRA2,PD,D00464,0.964
GABRA2,PD,D00329,0.9627
GABRA2,PD,D00696,0.9562
GABRA2,PD,D00550,0.9528
GABRA2,PD,D00311,0.9504
GABRA2,PD,D00280,0.9496
GABRA2,PD,D00365,0.9466
GABRA2,PD,D00267,0.9432
GABRA2,PD,D00714,0.9429
GABRA2,PD,D00225,0.9425
GABRA2,PD,D00506,0.9281
GABRA2,PD,D00470,0.9221
GABRA2,PD,D00370,0.9218
GABRA2,PD,D00531,0.9192
GABRA2,PD,D01279,0.918
GABRA2,PD,D01593,0.9136
GABRA2,PD,D01657,0.9108
GABRA2,PD,D00555,0.9095
GABRA2,PD,D08507,0.9058
GABRA2,PD,D02253,0.9052
GABRA2,PD,D01245,0.9042
GABRA2,PD,D00694,0.9004
GABRA2,PD,D03562,0.899
GABRA2,PD,D00695,0.897
GABRA2,PD,D01408,0.897
GABRA2,PD,D00457,0.8941
GABRA2,PD,D02252,0.8911
GABRA2,PD,D01268,0.8899
GABRA2,PD,D02283,0.8899
GABRA2,PD,D01328,0.8884
GABRA2,PD,D00499,0.8856
GABRA2,PD,D01293,0.884
GABRA2,PD,D01292,0.8831
GABRA2,PD,D06106,0.8829
GABRA2,PD,D01758,0.88
GABRA2,PD,D01254,0.8798
GABRA2,PD,D05028,0.8793
GABRA2,PD,D04721,0.8777
GABRA2,PD,D04882,0.871
GABRA2,PD,D07326,0.8697
GABRA2,PD,D00697,0.8682
GABRA2,PD,D08145,0.8672
GABRA2,PD,D01372,0.8654
GABRA2,PD,D00430,0.8649
GABRA2,PD,D03737,0.8649
GABRA2,PD,D01564,0.8632
GABRA2,PD,D01310,0.8612
GABRA2,PD,D01316,0.8605
GABRA2,PD,D08356,0.8591
GABRA2,PD,D08481,0.8581
GABRA2,PD,D02624,0.8424
GABRA2,PD,D00713,0.8423
GABRA2,PD,D08690,0.8407
GABRA2,PD,D07409,0.8401
GABRA2,PD,D03155,0.8388
GABRA2,PD,D01278,0.8378
GABRA2,PD,D00338,0.8328
GABRA2,PD,D01286,0.8284
GABRA2,PD,D10194,0.8265
GABRA2,PD,D00701,0.8235
GABRA2,PD,D00693,0.8223
GABRA2,PD,D07328,0.8219
GABRA2,PD,D01740,0.8211
GABRA2,PD,D01071,0.8173
GABRA2,PD,D00700,0.8162
GABRA2,PD,D01253,0.8126
GABRA2,PD,D00706,0.812
GABRA2,PD,D01514,0.8115
GABRA2,PD,D04282,0.8021
GABRA2,PD,D00549,0.799
GABRA2,PD,D04257,0.7925
GABRA2,PD,D01744,0.7883
GABRA2,PD,D02770,0.7873
GABRA2,PD,D02617,0.7829
GABRA2,PD,D02616,0.7735
GABRA2,PD,D01042,0.7687
GABRA2,PD,D08840,0.7599
GABRA2,PD,D02594,0.7435
GABRA2,PD,D00547,0.7426
GABRA2,PD,D00530,0.7393
GABRA2,PD,D04300,0.7329
GABRA2,PD,D07314,0.7298
GABRA2,PD,D00557,0.7245
GABRA2,PD,D00376,0.7158
GABRA2,PD,D00532,0.71
GAK,PD,D08552,0.7874
GAK,PD,D03252,0.7535
GAK,PD,D05399,0.7217
GMNN,PD,D00131,1
GMNN,PD,D00282,1
GMNN,PD,D00298,0.9874
GMNN,PD,D00297,0.9828
GMNN,PD,D00570,0.9777
GMNN,PD,D00112,0.8502
GMNN,PD,D08679,0.8403
GMNN,PD,D03021,0.8162
GMNN,PD,D06114,0.8111
GMNN,PD,D02629,0.8101
GMNN,PD,D05197,0.7858
GMNN,PD,D00560,0.7768
GMNN,PD,D05738,0.7728
GMNN,PD,D00436,0.7691
GMNN,PD,D00577,0.7682
GMNN,PD,D02197,0.7598
GMNN,PD,D00775,0.7419
GMNN,PD,D05529,0.7254
GMNN,PD,D02910,0.7242
GMNN,PD,D00636,0.7184
GMNN,PD,D07364,0.7067
GMNN,PD,D08279,0.7051
GMNN,PD,D00521,0.701
GRIN1,PD,D08174,0.8697
GRIN1,PD,D08098,0.8585
GRIN1,PD,D07283,0.8207
GRIN1,PD,D04905,0.7978
GRIN1,PD,D08195,0.7917
GRIN1,PD,D07058,0.7755
GRIN1,PD,D03742,0.7742
GRIN1,PD,D00711,0.7733
GRIN1,PD,D07306,0.7717
GRIN1,PD,D02102,0.7693
GRIN1,PD,D07441,0.7624
GRIN1,PD,D08122,0.7541
GRIN1,PD,D02410,0.7535
GRIN1,PD,D04728,0.7507
GRIN1,PD,D08121,0.7498
GRIN1,PD,D08596,0.7391
GRIN1,PD,D08123,0.7333
GRIN1,PD,D02780,0.7282
GRIN1,PD,D06146,0.726
GRIN1,PD,D08100,0.7246
GRIN1,PD,D01883,0.724
GRIN1,PD,D03100,0.7185
GRIN1,PD,D00848,0.7117
GRIN1,PD,D05145,0.704
GRIN1,PD,D03746,0.7025
GRIN2C,PD,D08174,0.8996
GRIN2C,PD,D08098,0.8837
GRIN2C,PD,D07283,0.8473
GRIN2C,PD,D04905,0.8269
GRIN2C,PD,D08195,0.8206
GRIN2C,PD,D07058,0.805
GRIN2C,PD,D00711,0.801
GRIN2C,PD,D02102,0.7993
GRIN2C,PD,D03742,0.7952
GRIN2C,PD,D07306,0.795
GRIN2C,PD,D08122,0.7836
GRIN2C,PD,D07441,0.7832
GRIN2C,PD,D02410,0.7817
GRIN2C,PD,D04728,0.7789
GRIN2C,PD,D08121,0.778
GRIN2C,PD,D01883,0.7671
GRIN2C,PD,D08596,0.7656
GRIN2C,PD,D08123,0.7604
GRIN2C,PD,D02780,0.7557
GRIN2C,PD,D06146,0.7542
GRIN2C,PD,D08100,0.751
GRIN2C,PD,D03100,0.7456
GRIN2C,PD,D00848,0.7331
GRIN2C,PD,D05145,0.7299
GRIN2C,PD,D03746,0.7293
GRIN2C,PD,D04226,0.7198
GRIN2C,PD,D09917,0.719
GRIN2C,PD,D08101,0.7186
GRIN2C,PD,D07979,0.7128
GRIN2C,PD,D05453,0.7109
GRIN2C,PD,D09918,0.7025
GRIN2C,PD,D05447,0.7015
HDAC1,PD,D00710,0.9499
HDAC1,PD,D00399,0.9373
HDAC1,PD,D00304,0.9351
HDAC1,PD,D08667,0.9351
HDAC1,PD,D06320,0.7163
HDAC10,PD,D00710,0.8656
HDAC10,PD,D00304,0.8528
HDAC10,PD,D08667,0.8528
HDAC10,PD,D00399,0.8498
HDAC2,PD,D00710,0.9602
HDAC2,PD,D00399,0.9476
HDAC2,PD,D00304,0.9453
HDAC2,PD,D08667,0.9453
HDAC2,PD,D06320,0.7213
HDAC3,PD,D00710,0.9034
HDAC3,PD,D00304,0.8897
HDAC3,PD,D08667,0.8897
HDAC3,PD,D00399,0.8865
HDAC5,PD,D00710,0.8645
HDAC5,PD,D00304,0.8519
HDAC5,PD,D08667,0.8519
HDAC5,PD,D00399,0.8486
HDAC6,PD,D00304,0.9851
HDAC6,PD,D08667,0.9851
HDAC6,PD,D00710,0.9765
HDAC6,PD,D00399,0.9519
HDAC6,PD,D10060,0.8392
HDAC6,PD,D10319,0.8375
HDAC6,PD,D10019,0.8116
HDAC6,PD,D08870,0.7939
HDAC6,PD,D06637,0.7782
HDAC6,PD,D10084,0.7671
HDAC7,PD,D00710,0.857
HDAC7,PD,D00304,0.8448
HDAC7,PD,D08667,0.8448
HDAC7,PD,D00399,0.8411
HIF1A,PD,D00302,0.9402
HIF1A,PD,D00282,0.9116
HIF1A,PD,D01825,0.8368
HIF1A,PD,D00437,0.7778
HIF1A,PD,D00246,0.7647
HIF1A,PD,D00328,0.7491
HIF1A,PD,D01745,0.7489
HIF1A,PD,D00385,0.7467
HIF1A,PD,D05529,0.7453
HIF1A,PD,D00983,0.7118
HIF1A,PD,D00325,0.7072
HIF1A,PD,D01299,0.7046
HIPK2,PD,D08552,0.7608
HTR1A,PD,D00283,1
HTR1A,PD,D00454,1
HTR1A,PD,D01164,1
HTR1A,PD,D08456,1
HTR1A,PD,D00426,0.991
HTR1A,PD,D01321,0.9779
HTR1A,PD,D08687,0.9731
HTR1A,PD,D00561,0.9718
HTR1A,PD,D01051,0.9039
HTR1A,PD,D02629,0.8998
HTR1A,PD,D01358,0.8996
HTR1A,PD,D02357,0.8918
HTR1A,PD,D03165,0.8712
HTR1A,PD,D08207,0.8607
HTR1A,PD,D08216,0.8456
HTR1A,PD,D05738,0.8312
HTR1A,PD,D08132,0.809
HTR1A,PD,D00502,0.8047
HTR1A,PD,D00987,0.762
HTR1A,PD,D02666,0.7583
HTR1A,PD,D02340,0.7527
HTR1A,PD,D00451,0.7422
HTR1A,PD,D06330,0.7387
HTR1A,PD,D08339,0.729
HTR1A,PD,D07905,0.7263
HTR1A,PD,D00136,0.7243
HTR1A,PD,D00513,0.717
HTR1A,PD,D07218,0.7155
HTR1A,PD,D00373,0.7151
HTT,PD,D00326,0.8795
HTT,PD,D02629,0.8764
HTT,PD,D07880,0.8543
HTT,PD,D01321,0.853
HTT,PD,D00823,0.8395
HTT,PD,D02574,0.7616
HTT,PD,D00283,0.7595
HTT,PD,D07791,0.7572
HTT,PD,D00561,0.7439
HTT,PD,D08670,0.738
HTT,PD,D05173,0.7335
HTT,PD,D02566,0.7085
HTT,PD,D08456,0.7084
IKBKE,PD,D08552,0.8418
IRAK1,PD,D08552,0.7855
ITK,PD,D08279,0.7077
KCNJ12,PD,D00294,0.7246
KCNJ8,PD,D00294,0.7522
KDR,PD,D03736,1
KDR,PD,D09635,1
KDR,PD,D08524,0.9507
KDR,PD,D06407,0.8501
KDR,PD,D08279,0.8433
KDR,PD,D08066,0.8017
KDR,PD,D08881,0.7947
KDR,PD,D08552,0.7188
KIT,PD,D03736,1
KIT,PD,D08524,1
KIT,PD,D09635,1
KIT,PD,D08552,0.9733
KIT,PD,D06407,0.8913
KIT,PD,D08279,0.8562
KIT,PD,D08066,0.778
KIT,PD,D08881,0.7613
KLK8,PD,D00043,0.8376
KLK8,PD,D07606,0.721
KMT2A,PD,D00859,0.9582
KMT2A,PD,D01046,0.9059
KMT2A,PD,D01264,0.9054
KMT2A,PD,D02341,0.895
KMT2A,PD,D05693,0.8924
KMT2A,PD,D02166,0.8681
KMT2A,PD,D00881,0.865
KMT2A,PD,D03567,0.8472
KMT2A,PD,D04222,0.8419
KMT2A,PD,D08224,0.8402
KMT2A,PD,D00282,0.8386
KMT2A,PD,D03106,0.8381
KMT2A,PD,D06096,0.8365
KMT2A,PD,D00290,0.8336
KMT2A,PD,D00802,0.8334
KMT2A,PD,D07244,0.8327
KMT2A,PD,D02335,0.8325
KMT2A,PD,D00882,0.8322
KMT2A,PD,D05819,0.8291
KMT2A,PD,D08338,0.8284
KMT2A,PD,D08162,0.8274
KMT2A,PD,D00411,0.8266
KMT2A,PD,D07136,0.8237
KMT2A,PD,D01112,0.819
KMT2A,PD,D04028,0.8169
KMT2A,PD,D07360,0.815
KMT2A,PD,D03135,0.8135
KMT2A,PD,D01775,0.8096
KMT2A,PD,D06114,0.8064
KMT2A,PD,D00626,0.806
KMT2A,PD,D00886,0.8058
KMT2A,PD,D03470,0.8029
KMT2A,PD,D05442,0.8018
KMT2A,PD,D05738,0.8017
KMT2A,PD,D03493,0.8002
KMT2A,PD,D02851,0.7999
KMT2A,PD,D01913,0.7987
KMT2A,PD,D05456,0.7968
KMT2A,PD,D06223,0.7954
KMT2A,PD,D08062,0.795
KMT2A,PD,D02534,0.7947
KMT2A,PD,D01575,0.7939
KMT2A,PD,D01200,0.7936
KMT2A,PD,D01140,0.7919
KMT2A,PD,D00302,0.7906
KMT2A,PD,D02486,0.7902
KMT2A,PD,D01335,0.7866
KMT2A,PD,D07364,0.7863
KMT2A,PD,D00130,0.7851
KMT2A,PD,D02217,0.785
KMT2A,PD,D00233,0.7843
KMT2A,PD,D01956,0.7835
KMT2A,PD,D00005,0.783
KMT2A,PD,D00169,0.7819
KMT2A,PD,D08257,0.7818
KMT2A,PD,D00436,0.7808
KMT2A,PD,D00401,0.7805
KMT2A,PD,D01049,0.78
KMT2A,PD,D00849,0.7789
KMT2A,PD,D03882,0.7772
KMT2A,PD,D06134,0.7764
KMT2A,PD,D02360,0.7735
KMT2A,PD,D01044,0.7731
KMT2A,PD,D00486,0.7731
KMT2A,PD,D01071,0.7708
KMT2A,PD,D00343,0.7693
KMT2A,PD,D01896,0.7692
KMT2A,PD,D00351,0.7688
KMT2A,PD,D01261,0.7684
KMT2A,PD,D00467,0.7677
KMT2A,PD,D01418,0.7662
KMT2A,PD,D00577,0.7642
KMT2A,PD,D08470,0.7637
KMT2A,PD,D04184,0.7633
KMT2A,PD,D00395,0.7627
KMT2A,PD,D00449,0.76
KMT2A,PD,D04514,0.7597
KMT2A,PD,D00729,0.7586
KMT2A,PD,D03564,0.757
KMT2A,PD,D00825,0.7567
KMT2A,PD,D00681,0.7548
KMT2A,PD,D05951,0.7547
KMT2A,PD,D04140,0.7522
KMT2A,PD,D01164,0.751
KMT2A,PD,D05200,0.75
KMT2A,PD,D00819,0.7499
KMT2A,PD,D01773,0.7484
KMT2A,PD,D01371,0.748
KMT2A,PD,D06218,0.747
KMT2A,PD,D08552,0.7449
KMT2A,PD,D07282,0.7445
KMT2A,PD,D02204,0.744
KMT2A,PD,D05166,0.7424
KMT2A,PD,D01096,0.7418
KMT2A,PD,D02797,0.7418
KMT2A,PD,D01152,0.7418
KMT2A,PD,D01275,0.7414
KMT2A,PD,D00811,0.7412
KMT2A,PD,D06067,0.7407
KMT2A,PD,D03636,0.739
KMT2A,PD,D02725,0.7382
KMT2A,PD,D01404,0.7377
KMT2A,PD,D08465,0.7371
KMT2A,PD,D00427,0.7354
KMT2A,PD,D03985,0.7339
KMT2A,PD,D07270,0.7327
KMT2A,PD,D03620,0.7316
KMT2A,PD,D03663,0.7296
KMT2A,PD,D08275,0.728
KMT2A,PD,D07218,0.7248
KMT2A,PD,D00965,0.7235
KMT2A,PD,D02027,0.7232
KMT2A,PD,D03865,0.7232
KMT2A,PD,D00197,0.7214
KMT2A,PD,D00308,0.721
KMT2A,PD,D08194,0.7207
KMT2A,PD,D03798,0.7193
KMT2A,PD,D01338,0.7183
KMT2A,PD,D08577,0.7166
KMT2A,PD,D00533,0.7155
KMT2A,PD,D02629,0.7155
KMT2A,PD,D01833,0.715
KMT2A,PD,D05294,0.7141
KMT2A,PD,D01437,0.713
KMT2A,PD,D01394,0.7115
KMT2A,PD,D00218,0.7112
KMT2A,PD,D04696,0.7111
KMT2A,PD,D02236,0.7098
KMT2A,PD,D00565,0.7087
KMT2A,PD,D01745,0.7069
KMT2A,PD,D04733,0.7067
KMT2A,PD,D08150,0.7055
KMT2A,PD,D02655,0.7017
KMT2A,PD,D00134,0.7009
KMT2A,PD,D02601,0.7004
LCK,PD,D06407,1
LCK,PD,D05399,0.9551
LCK,PD,D03658,0.8943
LCK,PD,D08066,0.8393
LCK,PD,D01977,0.8289
LCK,PD,D08950,0.8134
LCK,PD,D03252,0.8132
LCK,PD,D03736,0.7984
LCK,PD,D08881,0.7325
LRRK2,PD,D08552,0.8594
LYN,PD,D06407,0.9484
LYN,PD,D08279,0.8581
LYN,PD,D03658,0.8377
LYN,PD,D05399,0.7824
LYN,PD,D09731,0.7541
LYN,PD,D08066,0.729
LYN,PD,D08950,0.7277
LYN,PD,D08881,0.7247
MAP2K1,PD,D08279,0.7185
MAP2K2,PD,D08279,0.8124
MAP2K2,PD,D08552,0.704
MAP2K3,PD,D08552,0.7071
MAP3K2,PD,D08552,0.8288
MAP3K3,PD,D08552,0.8207
MAP4K1,PD,D08552,0.7327
MAP4K1,PD,D08279,0.7292
MAP4K3,PD,D08279,0.7587
MAP4K3,PD,D08552,0.7347
MAP4K5,PD,D08279,0.8296
MAP4K5,PD,D06407,0.7102
MAP4K5,PD,D09731,0.7038
MAPK1,PD,D00802,0.8198
MAPK1,PD,D00565,0.7918
MAPK1,PD,D08217,0.7859
MAPK1,PD,D02629,0.7621
MAPK1,PD,D03135,0.7495
MAPK1,PD,D00859,0.7453
MAPK1,PD,D02335,0.7448
MAPK1,PD,D01046,0.7399
MAPK1,PD,D06543,0.7374
MAPK1,PD,D02027,0.7346
MAPK1,PD,D03736,0.7234
MAPK1,PD,D00282,0.7178
MAPK1,PD,D00386,0.7169
MAPK1,PD,D00364,0.71
MAPK1,PD,D00881,0.7024
MAPK1,PD,D00493,0.7022
MAPT,PD,D00094,1
MAPT,PD,D00411,1
MAPT,PD,D00881,1
MAPT,PD,D02335,1
MAPT,PD,D06114,1
MAPT,PD,D05799,0.9873
MAPT,PD,D06096,0.9853
MAPT,PD,D06543,0.9722
MAPT,PD,D03882,0.9643
MAPT,PD,D00859,0.9489
MAPT,PD,D01264,0.9455
MAPT,PD,D00798,0.9385
MAPT,PD,D00802,0.935
MAPT,PD,D00577,0.9309
MAPT,PD,D05738,0.9275
MAPT,PD,D00131,0.924
MAPT,PD,D07245,0.9145
MAPT,PD,D00882,0.9136
MAPT,PD,D08062,0.9112
MAPT,PD,D05819,0.9097
MAPT,PD,D01046,0.9017
MAPT,PD,D02754,0.8962
MAPT,PD,D03135,0.8849
MAPT,PD,D03635,0.882
MAPT,PD,D01653,0.8806
MAPT,PD,D00886,0.8759
MAPT,PD,D00188,0.8728
MAPT,PD,D00919,0.8706
MAPT,PD,D00282,0.8527
MAPT,PD,D01750,0.8476
MAPT,PD,D01621,0.838
MAPT,PD,D01775,0.8337
MAPT,PD,D01275,0.8233
MAPT,PD,D00120,0.8113
MAPT,PD,D02601,0.8064
MAPT,PD,D00359,0.8062
MAPT,PD,D01575,0.8041
MAPT,PD,D00290,0.7976
MAPT,PD,D00395,0.7971
MAPT,PD,D00617,0.7943
MAPT,PD,D02815,0.7841
MAPT,PD,D00373,0.7832
MAPT,PD,D00233,0.7821
MAPT,PD,D00780,0.7815
MAPT,PD,D00351,0.7795
MAPT,PD,D00898,0.7788
MAPT,PD,D00129,0.7773
MAPT,PD,D02191,0.771
MAPT,PD,D04876,0.7697
MAPT,PD,D07218,0.7665
MAPT,PD,D01552,0.7644
MAPT,PD,D00142,0.759
MAPT,PD,D01688,0.7582
MAPT,PD,D00633,0.7562
MAPT,PD,D00907,0.756
MAPT,PD,D02211,0.7558
MAPT,PD,D07647,0.7534
MAPT,PD,D00913,0.7519
MAPT,PD,D00238,0.7473
MAPT,PD,D00420,0.7419
MAPT,PD,D07870,0.7401
MAPT,PD,D01956,0.7383
MAPT,PD,D04184,0.7373
MAPT,PD,D00313,0.7327
MAPT,PD,D00896,0.7312
MAPT,PD,D00100,0.7305
MAPT,PD,D02629,0.7281
MAPT,PD,D08372,0.7274
MAPT,PD,D03165,0.7266
MAPT,PD,D07107,0.7232
MAPT,PD,D01430,0.7211
MAPT,PD,D07211,0.7193
MAPT,PD,D08207,0.7174
MAPT,PD,D00885,0.7159
MAPT,PD,D07833,0.7156
MAPT,PD,D00908,0.713
MAPT,PD,D00799,0.7128
MAPT,PD,D02005,0.7122
MAPT,PD,D07635,0.7052
MAPT,PD,D00436,0.7048
MAPT,PD,D02217,0.7048
MAPT,PD,D02609,0.7038
MEN1,PD,D00859,0.949
MEN1,PD,D01046,0.886
MEN1,PD,D01264,0.8639
MEN1,PD,D02341,0.8486
MEN1,PD,D00881,0.847
MEN1,PD,D05693,0.8463
MEN1,PD,D02166,0.8319
MEN1,PD,D03567,0.8184
MEN1,PD,D07244,0.8171
MEN1,PD,D00802,0.816
MEN1,PD,D00411,0.8122
MEN1,PD,D05819,0.8106
MEN1,PD,D02335,0.8061
MEN1,PD,D00882,0.8059
MEN1,PD,D08224,0.8054
MEN1,PD,D04222,0.7976
MEN1,PD,D03135,0.7955
MEN1,PD,D06114,0.7939
MEN1,PD,D01775,0.7929
MEN1,PD,D06096,0.7925
MEN1,PD,D00886,0.7913
MEN1,PD,D03106,0.7909
MEN1,PD,D00282,0.7878
MEN1,PD,D08338,0.7867
MEN1,PD,D08162,0.7845
MEN1,PD,D00436,0.784
MEN1,PD,D07136,0.7839
MEN1,PD,D02486,0.7813
MEN1,PD,D00290,0.778
MEN1,PD,D00626,0.7774
MEN1,PD,D07360,0.7771
MEN1,PD,D05442,0.7747
MEN1,PD,D01112,0.773
MEN1,PD,D01575,0.7723
MEN1,PD,D02851,0.7717
MEN1,PD,D04028,0.7706
MEN1,PD,D05456,0.7688
