Protein,Interaction,Drug,Scores
HDAC6,PD,D10319,0.8375
HDAC6,PD,D10019,0.8116
HDAC7,PD,D00710,0.857
HDAC7,PD,D00304,0.8448
HDAC7,PD,D08667,0.8448
HDAC7,PD,D00399,0.8411
HIF1A,PD,D00302,0.9402
HIF1A,PD,D00282,0.9116
HIF1A,PD,D01825,0.8368
HTR1A,PD,D00283,1
HTR1A,PD,D00454,1
HTR1A,PD,D01164,1
HTR1A,PD,D08456,1
HTR1A,PD,D00426,0.991
HTR1A,PD,D01321,0.9779
HTR1A,PD,D08687,0.9731
HTR1A,PD,D00561,0.9718
HTR1A,PD,D01051,0.9039
HTR1A,PD,D02629,0.8998
HTR1A,PD,D01358,0.8996
HTR1A,PD,D02357,0.8918
HTR1A,PD,D03165,0.8712
HTR1A,PD,D08207,0.8607
HTR1A,PD,D08216,0.8456
HTR1A,PD,D05738,0.8312
HTR1A,PD,D08132,0.809
HTR1A,PD,D00502,0.8047
HTT,PD,D00326,0.8795
HTT,PD,D02629,0.8764
HTT,PD,D07880,0.8543
HTT,PD,D01321,0.853
HTT,PD,D00823,0.8395
IKBKE,PD,D08552,0.8418
KDR,PD,D03736,1
KDR,PD,D09635,1
KDR,PD,D08524,0.9507
KDR,PD,D06407,0.8501
KDR,PD,D08279,0.8433
KDR,PD,D08066,0.8017
KIT,PD,D03736,1
KIT,PD,D08524,1
KIT,PD,D09635,1
KIT,PD,D08552,0.9733
KIT,PD,D06407,0.8913
KIT,PD,D08279,0.8562
KLK8,PD,D00043,0.8376
KMT2A,PD,D00859,0.9582
KMT2A,PD,D01046,0.9059
KMT2A,PD,D01264,0.9054
KMT2A,PD,D02341,0.895
KMT2A,PD,D05693,0.8924
KMT2A,PD,D02166,0.8681
KMT2A,PD,D00881,0.865
KMT2A,PD,D03567,0.8472
KMT2A,PD,D04222,0.8419
KMT2A,PD,D08224,0.8402
KMT2A,PD,D00282,0.8386
KMT2A,PD,D03106,0.8381
KMT2A,PD,D06096,0.8365
KMT2A,PD,D00290,0.8336
KMT2A,PD,D00802,0.8334
KMT2A,PD,D07244,0.8327
KMT2A,PD,D02335,0.8325
KMT2A,PD,D00882,0.8322
KMT2A,PD,D05819,0.8291
KMT2A,PD,D08338,0.8284
KMT2A,PD,D08162,0.8274
KMT2A,PD,D00411,0.8266
KMT2A,PD,D07136,0.8237
KMT2A,PD,D01112,0.819
KMT2A,PD,D04028,0.8169
KMT2A,PD,D07360,0.815
KMT2A,PD,D03135,0.8135
KMT2A,PD,D01775,0.8096
KMT2A,PD,D06114,0.8064
KMT2A,PD,D00626,0.806
KMT2A,PD,D00886,0.8058
KMT2A,PD,D03470,0.8029
KMT2A,PD,D05442,0.8018
KMT2A,PD,D05738,0.8017
KMT2A,PD,D03493,0.8002
LCK,PD,D06407,1
LCK,PD,D05399,0.9551
LCK,PD,D03658,0.8943
LCK,PD,D08066,0.8393
LCK,PD,D01977,0.8289
LCK,PD,D08950,0.8134
LCK,PD,D03252,0.8132
LRRK2,PD,D08552,0.8594
LYN,PD,D06407,0.9484
LYN,PD,D08279,0.8581
LYN,PD,D03658,0.8377
MAP2K2,PD,D08279,0.8124
MAP3K2,PD,D08552,0.8288
MAP3K3,PD,D08552,0.8207
MAP4K5,PD,D08279,0.8296
MAPK1,PD,D00802,0.8198
MAPT,PD,D00094,1
MAPT,PD,D00411,1
MAPT,PD,D00881,1
MAPT,PD,D02335,1
MAPT,PD,D06114,1
MAPT,PD,D05799,0.9873
MAPT,PD,D06096,0.9853
MAPT,PD,D06543,0.9722
MAPT,PD,D03882,0.9643
MAPT,PD,D00859,0.9489
MAPT,PD,D01264,0.9455
MAPT,PD,D00798,0.9385
MAPT,PD,D00802,0.935
MAPT,PD,D00577,0.9309
MAPT,PD,D05738,0.9275
MAPT,PD,D00131,0.924
MAPT,PD,D07245,0.9145
MAPT,PD,D00882,0.9136
MAPT,PD,D08062,0.9112
MAPT,PD,D05819,0.9097
MAPT,PD,D01046,0.9017
MAPT,PD,D02754,0.8962
MAPT,PD,D03135,0.8849
MAPT,PD,D03635,0.882
MAPT,PD,D01653,0.8806
MAPT,PD,D00886,0.8759
MAPT,PD,D00188,0.8728
MAPT,PD,D00919,0.8706
MAPT,PD,D00282,0.8527
MAPT,PD,D01750,0.8476
MAPT,PD,D01621,0.838
MAPT,PD,D01775,0.8337
MAPT,PD,D01275,0.8233
MAPT,PD,D00120,0.8113
MAPT,PD,D02601,0.8064
MAPT,PD,D00359,0.8062
MAPT,PD,D01575,0.8041
MEN1,PD,D00859,0.949
MEN1,PD,D01046,0.886
MEN1,PD,D01264,0.8639
MEN1,PD,D02341,0.8486
MEN1,PD,D00881,0.847
MEN1,PD,D05693,0.8463
MEN1,PD,D02166,0.8319
MEN1,PD,D03567,0.8184
MEN1,PD,D07244,0.8171
MEN1,PD,D00802,0.816
MEN1,PD,D00411,0.8122
MEN1,PD,D05819,0.8106
MEN1,PD,D02335,0.8061
MEN1,PD,D00882,0.8059
MEN1,PD,D08224,0.8054
MKNK2,PD,D09868,0.8058
NR3C1,PD,D00066,0.9608
NR3C1,PD,D00088,0.9429
NR3C1,PD,D00951,0.8916
NR3C1,PD,D00289,0.8455
NR3C1,PD,D00075,0.8069
NTRK1,PD,D08552,1
NTRK1,PD,D08279,0.8249
NTRK3,PD,D08552,0.9026
PCSK4,PD,D00043,0.8248
PDE1A,PD,D00528,1
PDE1A,PD,D00501,0.9592
PDE1A,PD,D01453,0.9077
PDE1A,PD,D00371,0.8945
PDE1A,PD,D06103,0.8719
PDE1A,PD,D00227,0.8481
PDE1A,PD,D05429,0.8345
PDE1A,PD,D01712,0.8268
PDE1A,PD,D06104,0.8236
PDE1A,PD,D07425,0.81
PDGFRA,PD,D03736,1
PDGFRA,PD,D08524,1
PDGFRA,PD,D09635,1
PDGFRA,PD,D06407,0.841
PDGFRB,PD,D03736,1
PDGFRB,PD,D08524,1
PDGFRB,PD,D09635,1
PDGFRB,PD,D08066,0.8345
PDGFRB,PD,D06407,0.8336
RPS6KB1,PD,D08552,0.8127
SMN2,PD,D00238,0.9101
SMN2,PD,D08044,0.8866
SMN2,PD,D02335,0.886
SMN2,PD,D00369,0.8826
SMN2,PD,D01264,0.8792
SMN2,PD,D08603,0.879
SMN2,PD,D03625,0.8779
SMN2,PD,D00507,0.8775
SMN2,PD,D08358,0.8775
SMN2,PD,D01140,0.8718
SMN2,PD,D01046,0.866
SMN2,PD,D02910,0.8654
SMN2,PD,D07792,0.8617
SMN2,PD,D02486,0.8614
SMN2,PD,D00266,0.8606
SMN2,PD,D04876,0.8606
SMN2,PD,D01338,0.8522
SMN2,PD,D02166,0.852
SMN2,PD,D00423,0.8515
SMN2,PD,D01275,0.8364
SMN2,PD,D00636,0.8346
SMN2,PD,D00066,0.8287
SMN2,PD,D01575,0.8219
SMN2,PD,D00372,0.8214
SMN2,PD,D00294,0.8209
SMN2,PD,D00586,0.8202
SMN2,PD,D00475,0.8193
SMN2,PD,D00802,0.818
SMN2,PD,D02027,0.816
SMN2,PD,D00965,0.8147
SMN2,PD,D00401,0.8132
SMN2,PD,D01678,0.8085
SMN2,PD,D08224,0.8061
SMN2,PD,D00640,0.8027
SMN2,PD,D02312,0.8026
SMN2,PD,D00425,0.802
SMN2,PD,D02218,0.8011
STK4,PD,D08279,0.8302
TAOK3,PD,D08552,0.8962
TDP1,PD,D00417,1
TDP1,PD,D00501,1
TDP1,PD,D00528,1
TDP1,PD,D00808,0.9507
TDP1,PD,D06096,0.87
TDP1,PD,D08224,0.857
TDP1,PD,D02166,0.8355
TDP1,PD,D07425,0.8171
TDP1,PD,D03882,0.8023
TMPRSS2,PD,D00043,0.8185
TNK2,PD,D08279,0.8787
TPSAB1,PD,D00043,0.8371
TUBB,PD,D08679,1
TUBB,PD,D08675,0.9906
TUBB,PD,D02197,0.969
TUBB,PD,D08680,0.9115
TUBB,PD,D00570,0.9088
TUBB,PD,D01068,0.898
TUBB,PD,D06304,0.8823
TUBB,PD,D05529,0.8753
TUBB,PD,D01935,0.8659
TUBB,PD,D07866,0.8578
TUBB,PD,D01769,0.8307
TUBB,PD,D00491,0.8176
TUBB,PD,D05333,0.8123
TUBB,PD,D02165,0.8073
TUBB3,PD,D08679,0.9577
TUBB3,PD,D08675,0.8926
TUBB3,PD,D02197,0.8692
TUBB3,PD,D08680,0.8194
TUBB3,PD,D00570,0.817
TUBB3,PD,D01068,0.8102
TYK2,PD,D08552,0.9044
